alpha,beta,gama,F,p,Kendall,tau_p
0.0,1.0,0.0,0.00059,0.98117,1.000,0.01667
0.25,0.5,0.25,0.00001,0.99787,1.000,0.01667
0.2,0.2,0.6,0.00120,0.97320,1.000,0.01667
0.33,0.33,0.34,0.00015,0.99053,1.000,0.01667
0.35,0.45,0.2,0.00000,0.99949,1.000,0.01667
0.3,0.6,0.1,0.00012,0.99164,1.000,0.01667
0.45,0.35,0.2,0.00000,0.99949,1.000,0.01667
0.4,0.35,0.25,0.00002,0.99635,1.000,0.01667
0.4,0.45,0.15,0.00002,0.99634,1.000,0.01667
0.5,0.25,0.25,0.00004,0.99534,1.000,0.01667
0.5,0.4,0.1,0.00007,0.99369,1.000,0.01667
0.6,0.3,0.1,0.00005,0.99471,1.000,0.01667
0.7,0.2,0.1,0.00003,0.99573,1.000,0.01667
1.0,0.0,0.0,0.00012,0.99144,1.000,0.01667
