algorithm,cpython,ctypes,cython,pycompile,pypy
K_Nucleotide,76346.22,74972.94,79715.36,72906.34,84971.76
binary_trees,388241210.72,32711186.98,29055706.9,389793671.32,56400486.8
fannkuch_redux,71774177.82,2445803.04,52746263.9,71239820.02,15573470.9
fasta,1923950.14,75655.32,232705.74,1906851.82,569091.42
hanoi,36645014.86,26679733.94,32698927.5,34303875.78,40156198.5
knn,4412189.62,2583311.6866666665,4177164.6,4512045.32,1135465.82
mandelbrot,401610.3,104371.06,76421.94,440514.0,145797.96
n_queens,92754005.72,55119890.6,45205762.0,103317163.54,59035996.36
nbody,285343029.26,62495209.88,129773515.38,249711052.64,138252524.48
pi_digits,73097.35,66044.76,70699.3,71106.98,75754.28
regex_redux,78467.86,79233.16,77540.06,70723.7,14964.6
reverse_complement,16870961.4,1437556.12,16870961.4,15921276.38,12299671.9
sieve,70161238.82,82919854.88,63276512.84,79364253.6,60037624.7
spectral_norm,18308018.3,271925.6,18308018.3,16382455.64,8672243.46
strassen,16797345.92,1733363.0733333332,7362124.74,16690068.36,8737148.1
