timestamp,function,run,package (uJ),dram (uJ)
2025-05-22T11:48:56.429722,run_energy_benchmark,1,1579769.0,0
2025-05-22T11:48:56.808833,run_energy_benchmark,2,2191400.0,0
2025-05-22T11:48:57.205131,run_energy_benchmark,3,2272822.0,0
2025-05-22T11:48:57.614584,run_energy_benchmark,4,2375177.0,0
2025-05-22T11:48:57.994400,run_energy_benchmark,5,2029108.0,0
2025-05-22T11:48:58.378133,run_energy_benchmark,6,1856563.0,0
2025-05-22T11:48:58.763411,run_energy_benchmark,7,1796382.0,0
2025-05-22T11:48:59.175837,run_energy_benchmark,8,1922114.0,0
2025-05-22T11:48:59.572535,run_energy_benchmark,9,1977657.0,0
2025-05-22T11:48:59.971381,run_energy_benchmark,10,2063288.0,0
2025-05-22T11:49:00.362633,run_energy_benchmark,11,1842707.0,0
2025-05-22T11:49:00.746480,run_energy_benchmark,12,1731807.0,0
2025-05-22T11:49:01.132704,run_energy_benchmark,13,1886653.0,0
2025-05-22T11:49:01.522146,run_energy_benchmark,14,2016292.0,0
2025-05-22T11:49:01.907115,run_energy_benchmark,15,1938166.0,0
2025-05-22T11:49:02.297233,run_energy_benchmark,16,1866938.0,0
2025-05-22T11:49:02.687786,run_energy_benchmark,17,1879817.0,0
2025-05-22T11:49:03.073069,run_energy_benchmark,18,1853023.0,0
2025-05-22T11:49:03.514427,run_energy_benchmark,19,2668816.0,0
2025-05-22T11:49:03.904597,run_energy_benchmark,20,1801265.0,0
2025-05-22T11:49:04.294220,run_energy_benchmark,21,2031367.0,0
2025-05-22T11:49:04.682233,run_energy_benchmark,22,1862178.0,0
2025-05-22T11:49:05.082785,run_energy_benchmark,23,1889155.0,0
2025-05-22T11:49:05.474511,run_energy_benchmark,24,1953120.0,0
2025-05-22T11:49:05.866365,run_energy_benchmark,25,2144404.0,0
2025-05-22T11:49:06.282071,run_energy_benchmark,26,1930598.0,0
2025-05-22T11:49:06.673967,run_energy_benchmark,27,1982661.0,0
2025-05-22T11:49:07.064384,run_energy_benchmark,28,1996272.0,0
2025-05-22T11:49:07.448303,run_energy_benchmark,29,1788691.0,0
2025-05-22T11:49:07.835758,run_energy_benchmark,30,2029902.0,0
2025-05-22T11:49:08.225544,run_energy_benchmark,31,1868769.0,0
2025-05-22T11:49:08.617327,run_energy_benchmark,32,1799190.0,0
2025-05-22T11:49:09.008375,run_energy_benchmark,33,1912166.0,0
2025-05-22T11:49:09.392140,run_energy_benchmark,34,1834773.0,0
2025-05-22T11:49:09.773562,run_energy_benchmark,35,1747554.0,0
2025-05-22T11:49:10.160159,run_energy_benchmark,36,2047175.0,0
2025-05-22T11:49:10.550343,run_energy_benchmark,37,1789241.0,0
2025-05-22T11:49:10.937461,run_energy_benchmark,38,1782283.0,0
2025-05-22T11:49:11.331248,run_energy_benchmark,39,1816828.0,0
2025-05-22T11:49:11.719394,run_energy_benchmark,40,1963069.0,0
2025-05-22T11:49:12.101842,run_energy_benchmark,41,1795406.0,0
2025-05-22T11:49:12.487599,run_energy_benchmark,42,1765864.0,0
2025-05-22T11:49:12.873910,run_energy_benchmark,43,1950374.0,0
2025-05-22T11:49:13.257035,run_energy_benchmark,44,1851741.0,0
2025-05-22T11:49:13.639534,run_energy_benchmark,45,1752925.0,0
2025-05-22T11:49:14.024973,run_energy_benchmark,46,1827998.0,0
2025-05-22T11:49:14.415213,run_energy_benchmark,47,2021846.0,0
2025-05-22T11:49:14.796840,run_energy_benchmark,48,1794063.0,0
2025-05-22T11:49:15.181285,run_energy_benchmark,49,1824092.0,0
2025-05-22T11:49:15.565869,run_energy_benchmark,50,1894038.0,0
