timestamp,function,run,package (uJ),dram (uJ)
2025-05-22T10:53:15.563820,run_energy_benchmark,1,59107881.0,0
2025-05-22T10:53:27.700519,run_energy_benchmark,2,82749422.0,0
2025-05-22T10:53:39.584226,run_energy_benchmark,3,80316811.0,0
2025-05-22T10:53:51.181198,run_energy_benchmark,4,78743817.0,0
2025-05-22T10:54:03.161590,run_energy_benchmark,5,81789647.0,0
2025-05-22T10:54:15.456989,run_energy_benchmark,6,83464691.0,0
2025-05-22T10:54:27.631640,run_energy_benchmark,7,83336274.0,0
2025-05-22T10:54:40.038095,run_energy_benchmark,8,84335660.0,0
2025-05-22T10:54:51.933363,run_energy_benchmark,9,80141580.0,0
2025-05-22T10:55:04.947445,run_energy_benchmark,10,88258929.0,0
2025-05-22T10:55:16.604071,run_energy_benchmark,11,78473249.0,0
2025-05-22T10:55:29.460049,run_energy_benchmark,12,86771079.0,0
2025-05-22T10:55:42.220978,run_energy_benchmark,13,86827292.0,0
2025-05-22T10:55:54.163770,run_energy_benchmark,14,80262795.0,0
2025-05-22T10:56:06.458296,run_energy_benchmark,15,82580965.0,0
2025-05-22T10:56:18.571569,run_energy_benchmark,16,81931553.0,0
2025-05-22T10:56:30.969604,run_energy_benchmark,17,84278166.0,0
2025-05-22T10:56:43.593512,run_energy_benchmark,18,85923608.0,0
2025-05-22T10:56:56.269852,run_energy_benchmark,19,85724939.0,0
2025-05-22T10:57:08.686983,run_energy_benchmark,20,84215544.0,0
2025-05-22T10:57:20.510337,run_energy_benchmark,21,80186257.0,0
2025-05-22T10:57:32.636735,run_energy_benchmark,22,82239963.0,0
2025-05-22T10:57:44.820151,run_energy_benchmark,23,82727022.0,0
2025-05-22T10:57:57.506842,run_energy_benchmark,24,86004236.0,0
2025-05-22T10:58:09.318405,run_energy_benchmark,25,79554484.0,0
2025-05-22T10:58:21.782532,run_energy_benchmark,26,85176540.0,0
2025-05-22T10:58:34.626287,run_energy_benchmark,27,87317098.0,0
2025-05-22T10:58:46.943303,run_energy_benchmark,28,83593109.0,0
2025-05-22T10:58:59.459627,run_energy_benchmark,29,84712796.0,0
2025-05-22T10:59:11.830594,run_energy_benchmark,30,84078032.0,0
2025-05-22T10:59:25.668283,run_energy_benchmark,31,95808837.0,0
2025-05-22T10:59:37.155067,run_energy_benchmark,32,79866067.0,0
2025-05-22T10:59:49.470105,run_energy_benchmark,33,83080659.0,0
2025-05-22T11:00:01.752140,run_energy_benchmark,34,83246308.0,0
2025-05-22T11:00:13.797993,run_energy_benchmark,35,81420690.0,0
2025-05-22T11:00:25.858150,run_energy_benchmark,36,82790254.0,0
2025-05-22T11:00:37.723662,run_energy_benchmark,37,80445961.0,0
2025-05-22T11:00:50.010989,run_energy_benchmark,38,84703397.0,0
2025-05-22T11:01:02.294790,run_energy_benchmark,39,83166474.0,0
2025-05-22T11:01:13.749142,run_energy_benchmark,40,77253037.0,0
2025-05-22T11:01:26.166220,run_energy_benchmark,41,84659390.0,0
2025-05-22T11:01:38.272429,run_energy_benchmark,42,82751558.0,0
2025-05-22T11:01:51.214374,run_energy_benchmark,43,88640398.0,0
2025-05-22T11:02:03.657424,run_energy_benchmark,44,85076015.0,0
2025-05-22T11:02:15.664101,run_energy_benchmark,45,81837315.0,0
2025-05-22T11:02:28.848079,run_energy_benchmark,46,89740737.0,0
2025-05-22T11:02:40.501987,run_energy_benchmark,47,79920694.0,0
2025-05-22T11:02:52.132478,run_energy_benchmark,48,79916177.0,0
2025-05-22T11:03:04.575563,run_energy_benchmark,49,84961880.0,0
2025-05-22T11:03:16.595634,run_energy_benchmark,50,81883457.0,0
