timestamp,function,run,package (uJ),dram (uJ)
2025-05-24T08:37:22.729649,run_energy_benchmark,1,34226414.0,0
2025-05-24T08:37:27.515907,run_energy_benchmark,2,34555636.0,0
2025-05-24T08:37:32.139612,run_energy_benchmark,3,32858254.0,0
2025-05-24T08:37:36.999772,run_energy_benchmark,4,34680392.0,0
2025-05-24T08:37:41.697784,run_energy_benchmark,5,33165443.0,0
2025-05-24T08:37:46.477682,run_energy_benchmark,6,34129368.0,0
2025-05-24T08:37:51.030529,run_energy_benchmark,7,32061990.0,0
2025-05-24T08:37:55.038721,run_energy_benchmark,8,28803088.0,0
2025-05-24T08:37:59.911264,run_energy_benchmark,9,34314915.0,0
2025-05-24T08:38:04.414547,run_energy_benchmark,10,32119546.0,0
2025-05-24T08:38:09.133563,run_energy_benchmark,11,33595801.0,0
2025-05-24T08:38:13.654262,run_energy_benchmark,12,31841349.0,0
2025-05-24T08:38:18.066083,run_energy_benchmark,13,31108257.0,0
2025-05-24T08:38:22.529374,run_energy_benchmark,14,31649822.0,0
2025-05-24T08:38:27.350269,run_energy_benchmark,15,34409275.0,0
2025-05-24T08:38:31.996724,run_energy_benchmark,16,32861915.0,0
2025-05-24T08:38:36.686098,run_energy_benchmark,17,33585119.0,0
2025-05-24T08:38:41.535234,run_energy_benchmark,18,33921300.0,0
2025-05-24T08:38:45.557729,run_energy_benchmark,19,28914904.0,0
2025-05-24T08:38:50.343721,run_energy_benchmark,20,34406284.0,0
2025-05-24T08:38:54.625978,run_energy_benchmark,21,30179427.0,0
2025-05-24T08:38:59.064975,run_energy_benchmark,22,31488262.0,0
2025-05-24T08:39:03.745348,run_energy_benchmark,23,33416113.0,0
2025-05-24T08:39:08.076599,run_energy_benchmark,24,30566084.0,0
2025-05-24T08:39:12.754116,run_energy_benchmark,25,32737282.0,0
2025-05-24T08:39:17.336460,run_energy_benchmark,26,32373208.0,0
2025-05-24T08:39:22.101716,run_energy_benchmark,27,34437534.0,0
2025-05-24T08:39:26.911865,run_energy_benchmark,28,34569614.0,0
2025-05-24T08:39:31.528999,run_energy_benchmark,29,33245154.0,0
2025-05-24T08:39:36.668376,run_energy_benchmark,30,36076140.0,0
2025-05-24T08:39:41.603940,run_energy_benchmark,31,35087984.0,0
2025-05-24T08:39:45.756575,run_energy_benchmark,32,29596603.0,0
2025-05-24T08:39:50.331235,run_energy_benchmark,33,32159708.0,0
2025-05-24T08:39:55.132644,run_energy_benchmark,34,34221409.0,0
2025-05-24T08:39:59.948495,run_energy_benchmark,35,33912328.0,0
2025-05-24T08:40:04.025321,run_energy_benchmark,36,28965258.0,0
2025-05-24T08:40:08.915097,run_energy_benchmark,37,34551486.0,0
2025-05-24T08:40:13.486973,run_energy_benchmark,38,32159158.0,0
2025-05-24T08:40:18.432186,run_energy_benchmark,39,35174227.0,0
2025-05-24T08:40:22.545404,run_energy_benchmark,40,29385057.0,0
2025-05-24T08:40:27.001978,run_energy_benchmark,41,31533427.0,0
2025-05-24T08:40:31.417257,run_energy_benchmark,42,31402690.0,0
2025-05-24T08:40:36.014713,run_energy_benchmark,43,32082682.0,0
2025-05-24T08:40:40.223952,run_energy_benchmark,44,30101668.0,0
2025-05-24T08:40:45.152920,run_energy_benchmark,45,35045931.0,0
2025-05-24T08:40:50.096055,run_energy_benchmark,46,35247957.0,0
2025-05-24T08:40:54.759790,run_energy_benchmark,47,32869239.0,0
2025-05-24T08:40:59.302619,run_energy_benchmark,48,32557107.0,0
2025-05-24T08:41:03.958198,run_energy_benchmark,49,32711586.0,0
2025-05-24T08:41:08.179648,run_energy_benchmark,50,29882980.0,0
