timestamp,function,run,package (uJ),dram (uJ)
2025-05-22T13:16:07.575934,run_energy_benchmark,1,4157643.0,0
2025-05-22T13:16:08.299504,run_energy_benchmark,2,4153432.0,0
2025-05-22T13:16:09.030756,run_energy_benchmark,3,3887990.0,0
2025-05-22T13:16:09.752085,run_energy_benchmark,4,4051199.0,0
2025-05-22T13:16:10.482179,run_energy_benchmark,5,4237354.0,0
2025-05-22T13:16:11.246122,run_energy_benchmark,6,4038564.0,0
2025-05-22T13:16:11.965878,run_energy_benchmark,7,4200063.0,0
2025-05-22T13:16:12.708870,run_energy_benchmark,8,4185353.0,0
2025-05-22T13:16:13.444659,run_energy_benchmark,9,4478016.0,0
2025-05-22T13:16:14.226163,run_energy_benchmark,10,4189442.0,0
2025-05-22T13:16:14.968574,run_energy_benchmark,11,4203114.0,0
2025-05-22T13:16:15.704342,run_energy_benchmark,12,4111501.0,0
2025-05-22T13:16:16.450760,run_energy_benchmark,13,4316883.0,0
2025-05-22T13:16:17.177752,run_energy_benchmark,14,4320180.0,0
2025-05-22T13:16:17.921536,run_energy_benchmark,15,4084828.0,0
2025-05-22T13:16:18.660552,run_energy_benchmark,16,3960867.0,0
2025-05-22T13:16:19.414852,run_energy_benchmark,17,4024403.0,0
2025-05-22T13:16:20.171258,run_energy_benchmark,18,4167897.0,0
2025-05-22T13:16:20.896967,run_energy_benchmark,19,3816397.0,0
2025-05-22T13:16:21.635803,run_energy_benchmark,20,4138051.0,0
2025-05-22T13:16:22.387099,run_energy_benchmark,21,4322743.0,0
2025-05-22T13:16:23.133682,run_energy_benchmark,22,4141285.0,0
2025-05-22T13:16:23.894632,run_energy_benchmark,23,4189565.0,0
2025-05-22T13:16:24.630932,run_energy_benchmark,24,3952932.0,0
2025-05-22T13:16:25.367731,run_energy_benchmark,25,3923268.0,0
2025-05-22T13:16:26.097823,run_energy_benchmark,26,3878775.0,0
2025-05-22T13:16:26.860658,run_energy_benchmark,27,4907519.0,0
2025-05-22T13:16:27.620412,run_energy_benchmark,28,4383534.0,0
2025-05-22T13:16:28.382974,run_energy_benchmark,29,4238148.0,0
2025-05-22T13:16:29.135778,run_energy_benchmark,30,4417896.0,0
2025-05-22T13:16:29.894515,run_energy_benchmark,31,4562916.0,0
2025-05-22T13:16:30.642275,run_energy_benchmark,32,3942922.0,0
2025-05-22T13:16:31.382980,run_energy_benchmark,33,4199757.0,0
2025-05-22T13:16:32.130431,run_energy_benchmark,34,4278432.0,0
2025-05-22T13:16:32.874861,run_energy_benchmark,35,4119130.0,0
2025-05-22T13:16:33.624078,run_energy_benchmark,36,3960805.0,0
2025-05-22T13:16:34.364463,run_energy_benchmark,37,4319935.0,0
2025-05-22T13:16:35.090474,run_energy_benchmark,38,3840933.0,0
2025-05-22T13:16:35.839312,run_energy_benchmark,39,4133901.0,0
2025-05-22T13:16:36.630965,run_energy_benchmark,40,4562122.0,0
2025-05-22T13:16:37.376097,run_energy_benchmark,41,4363636.0,0
2025-05-22T13:16:38.116198,run_energy_benchmark,42,4247182.0,0
2025-05-22T13:16:38.853608,run_energy_benchmark,43,4215138.0,0
2025-05-22T13:16:39.593968,run_energy_benchmark,44,4308155.0,0
2025-05-22T13:16:40.357156,run_energy_benchmark,45,4105947.0,0
2025-05-22T13:16:41.096533,run_energy_benchmark,46,3996450.0,0
2025-05-22T13:16:41.882207,run_energy_benchmark,47,4295277.0,0
2025-05-22T13:16:42.625306,run_energy_benchmark,48,4020497.0,0
2025-05-22T13:16:43.370625,run_energy_benchmark,49,3935354.0,0
2025-05-22T13:16:44.109399,run_energy_benchmark,50,4370899.0,0
