timestamp,function,run,package (uJ),dram (uJ)
2025-05-24T20:32:42.715229,run_energy_benchmark,1,4541798.0,0
2025-05-24T20:32:43.513455,run_energy_benchmark,2,4481128.0,0
2025-05-24T20:32:44.316265,run_energy_benchmark,3,4098745.0,0
2025-05-24T20:32:45.132780,run_energy_benchmark,4,3975026.0,0
2025-05-24T20:32:45.982528,run_energy_benchmark,5,4715259.0,0
2025-05-24T20:32:46.799758,run_energy_benchmark,6,4503041.0,0
2025-05-24T20:32:47.603903,run_energy_benchmark,7,4536548.0,0
2025-05-24T20:32:48.411294,run_energy_benchmark,8,4439381.0,0
2025-05-24T20:32:49.232538,run_energy_benchmark,9,4303089.0,0
2025-05-24T20:32:50.079107,run_energy_benchmark,10,5054003.0,0
2025-05-24T20:32:50.936019,run_energy_benchmark,11,5037463.0,0
2025-05-24T20:32:51.811254,run_energy_benchmark,12,6122604.0,0
2025-05-24T20:32:52.695483,run_energy_benchmark,13,5486680.0,0
2025-05-24T20:32:53.530188,run_energy_benchmark,14,4960559.0,0
2025-05-24T20:32:54.366470,run_energy_benchmark,15,4851245.0,0
2025-05-24T20:32:55.178920,run_energy_benchmark,16,4810839.0,0
2025-05-24T20:32:55.985979,run_energy_benchmark,17,4794849.0,0
2025-05-24T20:32:56.784635,run_energy_benchmark,18,4470631.0,0
2025-05-24T20:32:57.599819,run_energy_benchmark,19,4561694.0,0
2025-05-24T20:32:58.426646,run_energy_benchmark,20,4700184.0,0
2025-05-24T20:32:59.300644,run_energy_benchmark,21,4910693.0,0
2025-05-24T20:33:00.116263,run_energy_benchmark,22,4437366.0,0
2025-05-24T20:33:00.954593,run_energy_benchmark,23,4394948.0,0
2025-05-24T20:33:01.780519,run_energy_benchmark,24,4438465.0,0
2025-05-24T20:33:02.592605,run_energy_benchmark,25,4242970.0,0
2025-05-24T20:33:03.424885,run_energy_benchmark,26,4373280.0,0
2025-05-24T20:33:04.218092,run_energy_benchmark,27,4105397.0,0
2025-05-24T20:33:05.027818,run_energy_benchmark,28,4413380.0,0
2025-05-24T20:33:05.838349,run_energy_benchmark,29,4608508.0,0
2025-05-24T20:33:06.691164,run_energy_benchmark,30,4421802.0,0
2025-05-24T20:33:07.504852,run_energy_benchmark,31,4204824.0,0
2025-05-24T20:33:08.316194,run_energy_benchmark,32,4225392.0,0
2025-05-24T20:33:09.115943,run_energy_benchmark,33,4131947.0,0
2025-05-24T20:33:09.911301,run_energy_benchmark,34,4084279.0,0
2025-05-24T20:33:10.701633,run_energy_benchmark,35,4157765.0,0
2025-05-24T20:33:11.510878,run_energy_benchmark,36,4289174.0,0
2025-05-24T20:33:12.337956,run_energy_benchmark,37,4474598.0,0
2025-05-24T20:33:13.190977,run_energy_benchmark,38,4858691.0,0
2025-05-24T20:33:14.006967,run_energy_benchmark,39,4240041.0,0
2025-05-24T20:33:14.818442,run_energy_benchmark,40,4257984.0,0
2025-05-24T20:33:15.631870,run_energy_benchmark,41,4306874.0,0
2025-05-24T20:33:16.445607,run_energy_benchmark,42,4561634.0,0
2025-05-24T20:33:17.266850,run_energy_benchmark,43,4551685.0,0
2025-05-24T20:33:18.111080,run_energy_benchmark,44,4564564.0,0
2025-05-24T20:33:18.927115,run_energy_benchmark,45,4173451.0,0
2025-05-24T20:33:19.777554,run_energy_benchmark,46,4339649.0,0
2025-05-24T20:33:20.594085,run_energy_benchmark,47,4317921.0,0
2025-05-24T20:33:21.404283,run_energy_benchmark,48,4707569.0,0
2025-05-24T20:33:22.208208,run_energy_benchmark,49,4203724.0,0
2025-05-24T20:33:23.011560,run_energy_benchmark,50,4158925.0,0
